key,zh,en,ja,es,ru,fr,de,tr,ko,pl,pt,da,nl,it,uk,bg,hi,ar
pig_meat,猪肉,pork,豚肉,Cerdo,свинина,Du porc,Schweinefleisch,domuz,돼지 고기,Wieprzowina,Carne de porco,svinekød,varkensvlees,carne di maiale,Свинина,свинско месо,सुअर का मांस,لحم خنزير
pig_meat_info,生的猪肉上面还有血,Raw pork has blood on it,生豚肉には血がある,Cerdo crudo tiene sangre en él,Сырая свинина имеет кровь на нем,Le porc cru a du sang dessus,Rohes Schweinefleisch hat Blut darauf,Çiğ domuz üzerinde kan var,원시 돼지  고기에 피가 묻어있다.,Surowa wieprzowina ma na sobie krew,Carne de porco crua tem sangue,Rå svinekød har blod på det,Ruw varkensvlees heeft bloed erop,Il maiale crudo ha sangue su di esso,Нечиста свинина має кров на ній,Суровото свинско има кръв,कच्चे सूअर का मांस उस पर खून है,لحم ال خنزير الخام لديه الدم على ذلك
pig_meat_cook,熟猪肉,Cooked pork,調理済みの豚肉,Cerdo cocinado,Приготовленная свинина,Porc cuit,Gekochtes Schweinefleisch,Pişmiş domuz eti,돼지 고기 요리,Gotowana wieprzowina,Carne de porco cozida,Kogt svinekød,Gekookt varkensvlees,Maiale cotto,Свиняча варена,Варено свинско месо,पका हुआ सूअर का मांस,لحم الخنزير المطبوخ
pig_meat_cook_info,烤熟的猪肉,Roasted pork,ローストポーク,Cerdo asado,Жареная свинина,Porc rôti,Gebratenes Schweinefleisch,Kavrulmuş domuz,볶은 돼지 고기,Pieczona wieprzowina,Carne de porco assada,Brændt svinekød,Geroosterd varkensvlees,Maiale arrosto,Смажена свинина,Печено свинско месо,भुना हुआ सूअर का मांस,لحم الخنز ير المحمص
multiplayer,多人游戏,multiplayer game,マルチプレイヤーゲーム,Juego multijugador,Многопользовательская игра,Jeu multijoueur,Multiplayer-Spiel,Çok oyunculu oyun,멀티 플레이어 게임,Gra wieloosobowa,Jogo multijogador,Multiplayer spil,Multiplayer-spel,Gioco multiplayer,Багатокористувацька гра,Групова игра,मल्टीप्लेय र गेम,لعبة متعددة اللاعبين
multiplayer_test,正在施工,Under construction,建設中,En construcción,В стадии строительства,En construction,Im Bau,Yapım aşamasında,공사중,W budowie,Em construção,Under opførelse,In aanbouw,In costruzione,На стадії будівництва,В  процес на изграждане,निर्माणाधीन,تحت الانشاء
pressure_board,压力板,Pressure board,プレッシャープレート,Placa de presión,Давление,Plaque de pression,Druckplatte,Basınç plakası,압력판,Płyta dociskowa,Placa de pressão,Trykplade,Drukplaat,Piastra di pressione,Напірна плита,Табелка з а налягане,दबाव प्लेट,لوحة الضغط
pressure_board_info,一种简单的机关,a simple organ,単純な器官,un simple órgano,простой орган,un orgue simple,ein einfaches Organ,basit bir organ,단순한 기관,prosty narząd,um órgão simples,et enkelt organ,een eenvoudig orgel,un organo semplice,простий орган,прост орган,एक साधारण अंग,عضو بسيط
relic_stone,遗迹石,Relics,遺物,Reliquias,Каменные руины,Reliques,Relikte,Taş kalıntıları,유적,Relikwie,Relíquias,Stone ruiner,steenruïnes,rovine di pietra,Мощі,руини камък,स्टोन खंडहर,أطلال الحجر
relic_stone_info,上面有古人的信息,There is information about the ancients above.,上記の古代人についての情報があります。,Hay información sobre los antiguos mencionados anteriormente.,Существует информация о древних выше.,Il y a des informations sur les anciens ci-dessus.,Es gibt Informationen über die Alten oben.,Yukarıdaki eskiler hakkında bilgi var.,위의 고대인에 대한 정보가 있습니다.,Są tam informacje o starożytnych.,Há informações sobre os antigos acima.,Der er oplysninger om de gamle over.,Er is informatie over de Ouden hierboven.,Ci sono informazioni sugli antichi di cui sopra.,Є інформація про попередніх вище.,Има информация за древните по-горе.,उपरोक्त पूर्वजों के बारे में जानकारी है।,هناك معلومات عن القدماء أعلا ه.
herb,药草,Herb,ハーブ,Hierba,травы,Herbe,Herb,Otlar,허브,Herb,Erva,Urter,kruiden,odori,Трави,Билки,जड़ी बूट ी,الأعشاب
herb_info,一种可以治愈伤口的植物,a plant that can heal a wound,創傷を治すことができる植物,una planta que puede sanar una herida,растение, к оторое может излечить рану,une plante qui peut guérir une plaie,eine Pflanze, die eine Wunde heilen kann,bir yarayı iyileştirebilen bir bitki,상처를 치유 할 수있는 식물,roślina, która może wyleczyć ranę,uma planta que pode curar uma ferida,en plante, der kan helbrede et sår,een plant die een wond kan genezen,una pianta che può guarire una ferita,рослина, яка може зцілити рану,растение, което може да излек ува рана,एक पौधे जो घाव को ठीक कर सकता है,نبات يمكنه شفاء الجرح
wood_bowl_herb,捣碎药草,Chopped herb,チョップドハーブ,Hierba picada,Измельченная трава,Herbe hachée,Gehacktes Kraut,Doğranmış o,다진 허브,Posiekane zioło,Erva picada,Hakkede urt,Gehakt kruid,Erba tritata,Нарізана трава,Нарязана билка,चट्टान जड़ी बूटी,عشب مفروم
wood_bowl_herb_info,捣碎了的药草方便使用,Broken herbs are easy to use,壊れたハーブは使いやすい,Las hierbas rotas son fáciles de usar,Сломанные трав ы просты в использовании,Les herbes cassées sont faciles à utiliser,Gebrochene Kräuter sind einfach zu bedienen,Kırık otlar kullanımı kolaydır,부서진 허브는 사용하기 쉽다.,Zepsute zioła są łatwe w użyciu,Ervas quebradas são fáceis de usar,Brokede urter er nemme at bruge,Gebroken kruiden zijn gemakkelijk te gebruiken,Le erbe spezzate sono facili da usare,Розбиті трави легко використовувати,Счупените билки са  лесни за използване,टूटी जड़ी बूटियों का उपयोग करना आसान है,الأعش اب المكسورة سهلة الاستخدام
save_end,保存完毕,Saved,保存された,Guardado,Были сохранены,Enregistré,Gespeichert,kaydedildi,저장 됨,Uratowany,Salvo,blevet gemt,gered,state salvate,Збережено,е запазена,सहेज लिया गया,تم حفظها
saveing,保存中,saving,保存する,Ahorro,сохранение,Sauver,Speichern,koruma,저장 중,Zapisywanie,Salvando,Bevarelse,behoud,conservazione,Збереження,запазване,hi,ar
#,中文,英语,日本,西班牙,俄罗斯,法语,德语,土耳其,韩国,波兰,葡萄牙,丹麦,荷兰,意大利,乌克兰,保加利亚,印度语,阿拉伯
#,中文,英语,中国語,Chino,китайский,Chinois,Chinesisch,Çinli,중국어,Chiński,Chinês,kinesisk,Chinese,cinese,Китайський,китайски,चीनी,الصينية
ui,ui,ui,UI,UI,UI,UI,Benutzeroberfläche,UI,UI,Interfejs użytkownika,UI,UI,UI,UI,Інтерфейс користувача,UI,यूआई,UI
start,开始,start,スタート,Comenzar,начать,Début,Starten,başlamak,시작,Zacznij,Começar,Begynd,beginnen,iniziare,Почати,започвам,शुरू करना,بدأ
load,加载,load,負荷,Carga,нагрузка,Charge,Laden,yük,로드,Załaduj,Load,Load,belasting,carico,Завантаження,натоварване,भार,حمل
set,设置,set,設定,Ajuste,устанавливать,Réglage,Einstellung,kurmak,설정,Ustawienie,Configuração,Opsæt,oprichten,impostare,Налаштування,Създаване,सेट करें,نصب
help,帮助,help,ヘルプ,Ayuda,помощь,Aide,Hilfe,Yardım,도움말,Pomoc,Ajuda,Hjælp,Help,Aiuto,Допомога,Помощ,मदद,مساعدة
exit,退出,exit,出口,Salir,выход,Quitter,Beenden,çıkmak,출구,Wyjdź,Saída,Afslut,ophouden,smettere,Вихід,напускам,छोड़ना,استقال
return,返回,return,戻る,Regreso,возвращение,Retour,Zurück,dönüş,돌아 가기,Wróć,Retorno,Retur,terugkeer,ritorno,Повернення,връщане,वापसी,عودة
close,关闭,close,閉じる,Cerrar,близко,Fermer,Schließen,yakın,닫기,Zamknij,Fechar,Luk,dicht,vicino,Закрити,близо,पास,قريب
sure,确定,sure,決定する,Determinar,определить,Déterminer,Ermitteln,belirlemek,결정,Ustal,Determinar,Bestem,bepalen,determinare,Визначте,Определя,निर्धारित,حدد
music,音乐,music,音楽,Música,музыка,Musique,Musik,müzik,음악,Muzyka,Music,musik,muziek,musica,Музика,музика,संगीत,موسيقى
music effect,音效,music effects,効果音,Efecto de sonido,Звуковой эффект,Effet sonore,Soundeffekt,Ses efekti,효과음,Efekt dźwiękowy,Efeito sonoro,Lydeffekt,Geluidseffect,Effetto sonoro,Звуковий ефект,Звуков ефект,ध्वनि प्रभाव,تأثير الصوت
languare,语言,language,言語,Idioma,язык,Langue,Sprache,dil,언어,Język,Idioma,sprog,taal,lingua,Мова,език,भाषा,لغة
set seed,地图种子,map seed,マップシード,Mapa de semilla,Карта семян,Graine de carte,Kartensamen,Harita çekirdeği,지도 시드,Mapuj ziarno,Semente do mapa,Kort frø,Kaart zaad,Map seed,Насіння карти,Карта семена,नक्शा बीज,بذور الخريطة
save,保存,save,保存する,Guardar,Сохранить,Sauvegarder,Speichern,Kaydet,저장,Zapisz,Salvar,Gem,Save,Salva,Зберегти,Запази,सहेजें,حفظ
sure exit,确定退出,sure exit,出口を確認する,Confirmar salida,Подтвердить выход,Confirmer la sortie,Bestätigen Sie den Ausgang,Çıkışı onayla,이탈 확인,Potwierdź wyjście,Confirme a saída,Bekræft afslutningen,Bevestig exit,Conferma l'uscita,Підтвердьте вихід,Потвърдете изхода,बाहर निकलें की पुष्टि करें,تأكيد الخروج
build,建造,build,建設,Construcción,строить,Construction,Bau,inşa etmek,건설,Budowa,Construção,Byg,bouwen,costruire,Будівництво,Изграждане,निर्माण,بناء
build_bg,建造(背景),build(bg),建設（背景）,Construcción (fondo),Строительство (фон),Construction (arrière-plan),Konstruktion (Hintergrund),Inşaat (arka plan),건설 (배경),Budowa (tło),Construção (fundo),Byggeri (baggrund),Bouw (achtergrond),Costruzione (sfondo),Будівництво (фон),Строителство (фон),निर्माण (पृष्ठभूमि),البناء (الخلفية)
hurt mode,攻击,hurt,攻撃,Ataque,атака,Attaque,Angriff,saldırı,공격,Atak,Ataque,Attack,aanval,attacco,Атака,атака,आक्रमण,هجوم
you died,你死了,you died,あなたは死んでいる,Estás muerto,Ты мертв,Tu es mort,Du bist tot,Sen öldün,너 죽었어.,Jesteś martwy,Você está morto,Du er død,Je bent dood,Sei morto,Ти мертвий,Ти си мъртъв,तुम मर चुके हो,أنت ميت
delete,删除记录,delete save,レコードを削除する,Eliminar registro,Удалить запись,Supprimer l'enregistrement,Datensatz löschen,Kaydı sil,레코드 삭제,Usuń rekord,Excluir registro,Slet posten,Record verwijderen,Elimina record,Видалити запис,Изтриване на записа,रिकॉर्ड हटाएं,حذف السجل
sure delete?,确定要删除？,Are you sure you want to delete? ,削除してもよろしいですか？,¿Estás seguro de que quieres eliminar?,Вы действительно хотите удалить?,Êtes-vous sûr de vouloir supprimer?,"Sind Sie sicher, dass Sie löschen möchten?",Silmek istediğinden emin misin?,정말로 삭제 하시겠습니까?,Czy na pewno chcesz usunąć?,Tem certeza de que deseja excluir?,"Er du sikker på, at du vil slette?",Weet je zeker dat je wilt verwijderen?,Sei sicuro di voler eliminare?,"Ви впевнені, що хочете видалити?",Наистина ли искате да изтриете?,क्या आप वाकई हटाना चाहते हैं?,هل أنت متأكد من أنك تريد حذف؟
load_assets,加载资源中,Loading resources,リソースの読み込み,Cargando recursos,Загрузка ресурсов,Chargement des ressources,Ressourcen werden geladen,Kaynak yükleme,리소스로드 중,Ładowanie zasobów,Carregando recursos,Indlæser ressourcer,Laadbronnen laden,Caricamento risorse,Завантаження ресурсів,Зареждане на ресурси,संसाधन लोड हो रहा है,تحميل الموارد
